m,m_max,m_max_0,ef_construction,ml,select_neighbor_mode,total_time_for_building_graph,total_time_for_query,total_distance_count_for_building_graph,total_distance_count_for_query,recall
5, 5, 5, 5, 1, heuristic, 482, 5, 2211218, 22148, 0.1074
5, 5, 5, 10, 1, heuristic, 534, 5, 2418658, 23002, 0.1
5, 5, 5, 15, 1, heuristic, 621, 6, 2819999, 27226, 0.1552
5, 5, 5, 20, 1, heuristic, 675, 6, 3012049, 29786, 0.143
5, 5, 5, 25, 1, heuristic, 731, 6, 3269289, 29644, 0.1831
5, 5, 5, 30, 1, heuristic, 755, 6, 3279890, 29396, 0.1396
5, 5, 5, 35, 1, heuristic, 844, 7, 3706994, 32240, 0.1969
5, 5, 5, 40, 1, heuristic, 918, 6, 4159175, 29760, 0.1065
5, 5, 5, 45, 1, heuristic, 913, 6, 4011901, 29094, 0.1701
5, 5, 5, 50, 1, heuristic, 897, 6, 3825638, 28352, 0.1813
5, 5, 5, 55, 1, heuristic, 1005, 7, 4349433, 33710, 0.2072
5, 5, 5, 60, 1, heuristic, 1019, 7, 4356290, 32166, 0.2132
5, 5, 5, 65, 1, heuristic, 1080, 6, 4667270, 29088, 0.1324
5, 5, 5, 70, 1, heuristic, 1087, 6, 4653687, 30252, 0.1943
5, 5, 5, 75, 1, heuristic, 1090, 5, 4592233, 24534, 0.1364
5, 5, 5, 80, 1, heuristic, 1193, 7, 5053117, 31818, 0.236
5, 5, 5, 85, 1, heuristic, 1120, 6, 4684288, 28062, 0.1393
5, 5, 5, 90, 1, heuristic, 1267, 6, 5323455, 30546, 0.1907
5, 5, 5, 95, 1, heuristic, 1251, 7, 5149878, 31024, 0.191
5, 5, 10, 5, 1, heuristic, 710, 12, 3265085, 55948, 0.4596
5, 5, 10, 10, 1, heuristic, 840, 13, 3970014, 62308, 0.5529
5, 5, 10, 15, 1, heuristic, 931, 13, 4349744, 64804, 0.6219
5, 5, 10, 20, 1, heuristic, 1060, 13, 4971158, 63968, 0.3978
5, 5, 10, 25, 1, heuristic, 1104, 13, 5159411, 63532, 0.5095
5, 5, 10, 30, 1, heuristic, 1272, 14, 5927653, 69718, 0.7187
5, 5, 10, 35, 1, heuristic, 1327, 14, 6203179, 65490, 0.5451
5, 5, 10, 40, 1, heuristic, 1408, 14, 6662662, 66960, 0.649
5, 5, 10, 45, 1, heuristic, 1472, 14, 6934447, 69182, 0.6996
5, 5, 10, 50, 1, heuristic, 1563, 14, 7259147, 68376, 0.6932
5, 5, 10, 55, 1, heuristic, 1671, 14, 7839201, 70474, 0.6174
5, 5, 10, 60, 1, heuristic, 1773, 15, 8259539, 77586, 0.7316
5, 5, 10, 65, 1, heuristic, 1889, 15, 8680925, 71724, 0.7779
5, 5, 10, 70, 1, heuristic, 1960, 14, 9051329, 70708, 0.7799
5, 5, 10, 75, 1, heuristic, 2067, 14, 9451970, 71498, 0.7821
5, 5, 10, 80, 1, heuristic, 2120, 15, 9599859, 71714, 0.7084
5, 5, 10, 85, 1, heuristic, 2010, 14, 9057016, 66854, 0.6269
5, 5, 10, 90, 1, heuristic, 2355, 18, 10963608, 87326, 0.7489
5, 5, 10, 95, 1, heuristic, 2214, 15, 10015287, 71074, 0.6252
5, 5, 15, 5, 1, heuristic, 774, 16, 3554874, 70732, 0.4297
5, 5, 15, 10, 1, heuristic, 879, 15, 4100716, 78884, 0.5686
5, 5, 15, 15, 1, heuristic, 1079, 18, 4968670, 85154, 0.7947
5, 5, 15, 20, 1, heuristic, 1158, 17, 5477186, 85392, 0.7215
5, 5, 15, 25, 1, heuristic, 1280, 17, 6149881, 86414, 0.7505
5, 5, 15, 30, 1, heuristic, 1387, 18, 6591362, 86430, 0.8123
5, 5, 15, 35, 1, heuristic, 1493, 17, 7055183, 83492, 0.7088
5, 5, 15, 40, 1, heuristic, 1543, 17, 7329632, 82412, 0.7317
5, 5, 15, 45, 1, heuristic, 1819, 17, 8630947, 89598, 0.8727
5, 5, 15, 50, 1, heuristic, 1819, 18, 8683798, 90324, 0.8736
5, 5, 15, 55, 1, heuristic, 1900, 18, 9101777, 89470, 0.8802
5, 5, 15, 60, 1, heuristic, 1993, 17, 9638466, 89608, 0.8572
5, 5, 15, 65, 1, heuristic, 2123, 18, 10124140, 90234, 0.88
5, 5, 15, 70, 1, heuristic, 2216, 17, 10723416, 89614, 0.8825
5, 5, 15, 75, 1, heuristic, 2189, 17, 10574454, 83062, 0.7171
5, 5, 15, 80, 1, heuristic, 2375, 17, 11390071, 89896, 0.8866
5, 5, 15, 85, 1, heuristic, 2368, 18, 11345096, 95722, 0.7715
5, 5, 15, 90, 1, heuristic, 2522, 17, 12022831, 90432, 0.8623
5, 5, 15, 95, 1, heuristic, 2650, 17, 12615387, 90076, 0.8861
5, 5, 20, 5, 1, heuristic, 803, 18, 3838233, 90830, 0.6904
5, 5, 20, 10, 1, heuristic, 893, 18, 4438877, 93824, 0.7122
5, 5, 20, 15, 1, heuristic, 1049, 19, 5195426, 96804, 0.8053
