m, m_max, m_max_0, ef_construction, ml, select_neighbor_mode, total_time_for_building_graph, total_time_for_query, total_distance_count_for_building_graph, total_distance_count_for_query, recall
5, 5, 5, 5, 0.621335, simple, 233, 7, 1276557, 31202, 0.1942
5, 5, 5, 15, 0.621335, simple, 320, 9, 1771674, 37880, 0.2655
5, 5, 5, 25, 0.621335, simple, 432, 10, 2343799, 43404, 0.3946
5, 5, 5, 35, 0.621335, simple, 517, 9, 2729176, 43020, 0.3299
5, 5, 5, 45, 0.621335, simple, 566, 9, 3007654, 41956, 0.3709
5, 5, 15, 5, 0.621335, simple, 307, 18, 1765892, 90344, 0.6987
5, 5, 15, 15, 0.621335, simple, 513, 16, 2930420, 78418, 0.4384
5, 5, 15, 25, 0.621335, simple, 698, 18, 3940136, 91886, 0.7623
5, 5, 15, 35, 0.621335, simple, 863, 19, 4799818, 91970, 0.8062
5, 5, 15, 45, 0.621335, simple, 955, 15, 5319280, 81700, 0.4213
5, 5, 25, 5, 0.621335, simple, 319, 21, 1846745, 106522, 0.7668
5, 5, 25, 15, 0.621335, simple, 553, 21, 3136078, 106774, 0.8902
5, 5, 25, 25, 0.621335, simple, 734, 19, 4284823, 98998, 0.7501
5, 5, 25, 35, 0.621335, simple, 936, 22, 5297541, 109758, 0.7618
5, 5, 25, 45, 0.621335, simple, 1062, 21, 5954522, 107794, 0.9224
5, 5, 35, 5, 0.621335, simple, 303, 19, 1751495, 97020, 0.5458
5, 5, 35, 15, 0.621335, simple, 577, 18, 3270007, 91532, 0.4479
5, 5, 35, 25, 0.621335, simple, 754, 22, 4278422, 112830, 0.8918
5, 5, 35, 35, 0.621335, simple, 923, 22, 5218798, 112918, 0.8717
5, 5, 35, 45, 0.621335, simple, 1061, 22, 5996966, 112852, 0.8893
5, 5, 45, 5, 0.621335, simple, 343, 24, 1979375, 119080, 0.7503
5, 5, 45, 15, 0.621335, simple, 560, 21, 3287343, 113562, 0.854
5, 5, 45, 25, 0.621335, simple, 726, 19, 4235024, 99412, 0.4899
5, 5, 45, 35, 0.621335, simple, 922, 21, 5196056, 112914, 0.837
5, 5, 45, 45, 0.621335, simple, 1094, 22, 6196028, 115658, 0.9368
5, 15, 5, 5, 0.621335, simple, 289, 8, 1694438, 37094, 0.2365
5, 15, 5, 15, 0.621335, simple, 405, 9, 2287305, 46014, 0.3691
5, 15, 5, 25, 0.621335, simple, 502, 10, 2753938, 45016, 0.3864
5, 15, 5, 35, 0.621335, simple, 606, 10, 3318664, 47796, 0.4343
5, 15, 5, 45, 0.621335, simple, 697, 10, 3742936, 48752, 0.4467
5, 15, 15, 5, 0.621335, simple, 350, 18, 2092391, 86394, 0.6321
5, 15, 15, 15, 0.621335, simple, 590, 20, 3414320, 97224, 0.8799
5, 15, 15, 25, 0.621335, simple, 767, 19, 4384180, 98252, 0.901
5, 15, 15, 35, 0.621335, simple, 939, 19, 5329914, 99784, 0.9071
5, 15, 15, 45, 0.621335, simple, 1069, 19, 6074535, 99694, 0.8921
5, 15, 25, 5, 0.621335, simple, 376, 22, 2246249, 108524, 0.771
5, 15, 25, 15, 0.621335, simple, 631, 21, 3625762, 102598, 0.709
5, 15, 25, 25, 0.621335, simple, 815, 21, 4738342, 113156, 0.9242
5, 15, 25, 35, 0.621335, simple, 983, 22, 5622245, 113614, 0.9187
5, 15, 25, 45, 0.621335, simple, 1135, 22, 6383266, 109070, 0.832
5, 15, 35, 5, 0.621335, simple, 389, 23, 2301267, 116102, 0.7896
5, 15, 35, 15, 0.621335, simple, 637, 23, 3717548, 118128, 0.9085
5, 15, 35, 25, 0.621335, simple, 792, 21, 4700907, 111386, 0.8111
5, 15, 35, 35, 0.621335, simple, 1032, 22, 5912177, 119328, 0.9381
5, 15, 35, 45, 0.621335, simple, 1161, 23, 6818023, 118686, 0.9083
5, 15, 45, 5, 0.621335, simple, 353, 22, 2206917, 117274, 0.7963
5, 15, 45, 15, 0.621335, simple, 645, 23, 3767102, 119722, 0.8385
5, 15, 45, 25, 0.621335, simple, 846, 23, 4910777, 120772, 0.9191
5, 15, 45, 35, 0.621335, simple, 1004, 23, 5910800, 121036, 0.9374
5, 15, 45, 45, 0.621335, simple, 1193, 24, 6827917, 120080, 0.847
5, 25, 5, 5, 0.621335, simple, 326, 9, 1950589, 42714, 0.2755
5, 25, 5, 15, 0.621335, simple, 426, 10, 2440376, 46316, 0.3484
5, 25, 5, 25, 0.621335, simple, 529, 10, 3001281, 48400, 0.3991
5, 25, 5, 35, 0.621335, simple, 604, 10, 3423846, 49832, 0.4523
5, 25, 5, 45, 0.621335, simple, 710, 10, 3994448, 51752, 0.4813
5, 25, 15, 5, 0.621335, simple, 367, 18, 2265531, 93152, 0.7111
5, 25, 15, 15, 0.621335, simple, 587, 19, 3526629, 99084, 0.8879
5, 25, 15, 25, 0.621335, simple, 783, 20, 4487544, 99888, 0.889
5, 25, 15, 35, 0.621335, simple, 943, 19, 5426635, 101218, 0.8962
5, 25, 15, 45, 0.621335, simple, 1075, 20, 6127193, 101304, 0.9116
5, 25, 25, 5, 0.621335, simple, 385, 21, 2387445, 110170, 0.7856
5, 25, 25, 15, 0.621335, simple, 635, 21, 3901569, 114624, 0.8847
5, 25, 25, 25, 0.621335, simple, 814, 20, 4887230, 113000, 0.8619
5, 25, 25, 35, 0.621335, simple, 951, 20, 5786303, 112942, 0.927
5, 25, 25, 45, 0.621335, simple, 1126, 20, 6784173, 115262, 0.9305
5, 25, 35, 5, 0.621335, simple, 398, 22, 2476269, 118500, 0.8035
5, 25, 35, 15, 0.621335, simple, 620, 22, 3816311, 119070, 0.9186
5, 25, 35, 25, 0.621335, simple, 805, 21, 4958432, 117086, 0.8681
5, 25, 35, 35, 0.621335, simple, 990, 21, 5973280, 119880, 0.9339
5, 25, 35, 45, 0.621335, simple, 1153, 21, 6893975, 120270, 0.9272
5, 25, 45, 5, 0.621335, simple, 372, 23, 2306624, 121384, 0.8148
5, 25, 45, 15, 0.621335, simple, 615, 22, 3837448, 120312, 0.9069
5, 25, 45, 25, 0.621335, simple, 816, 22, 5035757, 122904, 0.9247
5, 25, 45, 35, 0.621335, simple, 992, 22, 5969765, 119602, 0.8542
5, 25, 45, 45, 0.621335, simple, 1157, 22, 6952355, 122282, 0.9359
5, 35, 5, 5, 0.621335, simple, 313, 8, 1899837, 41360, 0.2434
5, 35, 5, 15, 0.621335, simple, 419, 9, 2526412, 47286, 0.3449
5, 35, 5, 25, 0.621335, simple, 521, 10, 3035463, 50350, 0.4169
5, 35, 5, 35, 0.621335, simple, 620, 9, 3560896, 50184, 0.4614
5, 35, 5, 45, 0.621335, simple, 724, 10, 4087303, 52044, 0.4761
5, 35, 15, 5, 0.621335, simple, 362, 17, 2235038, 86746, 0.599
5, 35, 15, 15, 0.621335, simple, 582, 18, 3549444, 99404, 0.8776
5, 35, 15, 25, 0.621335, simple, 740, 18, 4523018, 98176, 0.8371
5, 35, 15, 35, 0.621335, simple, 910, 18, 5457607, 100956, 0.9047
5, 35, 15, 45, 0.621335, simple, 1047, 20, 6238813, 102794, 0.9086
5, 35, 25, 5, 0.621335, simple, 361, 21, 2303792, 107584, 0.7447
5, 35, 25, 15, 0.621335, simple, 629, 21, 3906873, 115444, 0.9064
5, 35, 25, 25, 0.621335, simple, 803, 21, 4870992, 114754, 0.9233
5, 35, 25, 35, 0.621335, simple, 963, 21, 5880459, 114926, 0.9276
5, 35, 25, 45, 0.621335, simple, 1107, 21, 6606537, 115106, 0.8937
5, 35, 35, 5, 0.621335, simple, 385, 22, 2426259, 118976, 0.8058
5, 35, 35, 15, 0.621335, simple, 609, 21, 3801257, 118356, 0.865
5, 35, 35, 25, 0.621335, simple, 812, 21, 4992951, 115958, 0.8407
5, 35, 35, 35, 0.621335, simple, 993, 22, 6022280, 121184, 0.9361
5, 35, 35, 45, 0.621335, simple, 1156, 22, 6932770, 120478, 0.9368
5, 35, 45, 5, 0.621335, simple, 363, 21, 2290988, 114636, 0.5954
5, 35, 45, 15, 0.621335, simple, 633, 23, 3860582, 121622, 0.9015
5, 35, 45, 25, 0.621335, simple, 825, 22, 4931766, 121860, 0.8799
5, 35, 45, 35, 0.621335, simple, 998, 22, 6109740, 121684, 0.9015
5, 35, 45, 45, 0.621335, simple, 1163, 22, 7030094, 121410, 0.9375
5, 45, 5, 5, 0.621335, simple, 306, 8, 1888821, 39146, 0.2164
5, 45, 5, 15, 0.621335, simple, 423, 9, 2496693, 47890, 0.3811
5, 45, 5, 25, 0.621335, simple, 537, 10, 3119838, 51066, 0.4194
5, 45, 5, 35, 0.621335, simple, 626, 10, 3591407, 50066, 0.38
5, 45, 5, 45, 0.621335, simple, 694, 10, 3920887, 51200, 0.4572
5, 45, 15, 5, 0.621335, simple, 360, 17, 2266051, 92046, 0.6931
5, 45, 15, 15, 0.621335, simple, 609, 19, 3591530, 98660, 0.8357
5, 45, 15, 25, 0.621335, simple, 758, 19, 4574177, 101722, 0.8987
5, 45, 15, 35, 0.621335, simple, 916, 19, 5440834, 101172, 0.8956
5, 45, 15, 45, 0.621335, simple, 1057, 18, 6246330, 100494, 0.9108
5, 45, 25, 5, 0.621335, simple, 384, 20, 2419702, 108510, 0.778
5, 45, 25, 15, 0.621335, simple, 613, 20, 3742434, 113790, 0.9025
5, 45, 25, 25, 0.621335, simple, 810, 21, 4962090, 114984, 0.916
5, 45, 25, 35, 0.621335, simple, 1001, 21, 6016938, 116934, 0.9288
5, 45, 25, 45, 0.621335, simple, 1135, 21, 6785694, 115192, 0.9129
5, 45, 35, 5, 0.621335, simple, 378, 22, 2316369, 116992, 0.7928
5, 45, 35, 15, 0.621335, simple, 642, 22, 3956038, 120128, 0.8832
5, 45, 35, 25, 0.621335, simple, 835, 22, 5040691, 119852, 0.9339
5, 45, 35, 35, 0.621335, simple, 1004, 22, 6007116, 120460, 0.9333
5, 45, 35, 45, 0.621335, simple, 1176, 23, 7007907, 121716, 0.936
5, 45, 45, 5, 0.621335, simple, 384, 24, 2382031, 120186, 0.7915
5, 45, 45, 15, 0.621335, simple, 670, 24, 3918661, 121672, 0.9223
5, 45, 45, 25, 0.621335, simple, 891, 23, 5105257, 123168, 0.9359
5, 45, 45, 35, 0.621335, simple, 999, 22, 6069556, 122582, 0.9341
5, 45, 45, 45, 0.621335, simple, 1165, 22, 7091912, 123070, 0.9298
15, 5, 5, 5, 0.369269, simple, 168, 6, 962931, 29492, 0.1612
15, 5, 5, 15, 0.369269, simple, 372, 7, 2120113, 33920, 0.2286
15, 5, 5, 25, 0.369269, simple, 459, 8, 2572827, 37354, 0.2932
15, 5, 5, 35, 0.369269, simple, 520, 9, 2918073, 40712, 0.1905
15, 5, 5, 45, 0.369269, simple, 582, 9, 3255286, 43208, 0.1398
15, 5, 15, 5, 0.369269, simple, 246, 14, 1482650, 73386, 0.4968
15, 5, 15, 15, 0.369269, simple, 791, 15, 5203302, 76870, 0.5848
15, 5, 15, 25, 0.369269, simple, 998, 15, 6407977, 69850, 0.3566
15, 5, 15, 35, 0.369269, simple, 1110, 17, 6978452, 90644, 0.5983
15, 5, 15, 45, 0.369269, simple, 1209, 16, 7578276, 87934, 0.7241
15, 5, 25, 5, 0.369269, simple, 267, 14, 1638587, 70492, 0.2986
15, 5, 25, 15, 0.369269, simple, 940, 24, 6103055, 129390, 0.8741
15, 5, 25, 25, 0.369269, simple, 1226, 26, 7759006, 139410, 0.6408
15, 5, 25, 35, 0.369269, simple, 1404, 24, 8713697, 130350, 0.8193
15, 5, 25, 45, 0.369269, simple, 1656, 27, 9729907, 133764, 0.9073
15, 5, 35, 5, 0.369269, simple, 291, 20, 1768753, 101782, 0.5075
15, 5, 35, 15, 0.369269, simple, 1065, 30, 6365397, 150152, 0.8702
15, 5, 35, 25, 0.369269, simple, 1332, 32, 7988604, 151718, 0.8126
15, 5, 35, 35, 0.369269, simple, 1621, 32, 9866412, 164628, 0.9855
15, 5, 35, 45, 0.369269, simple, 1883, 32, 11508884, 179006, 0.9863
15, 5, 45, 5, 0.369269, simple, 300, 21, 1797054, 114886, 0.7387
15, 5, 45, 15, 0.369269, simple, 1048, 30, 6720350, 162806, 0.8225
15, 5, 45, 25, 0.369269, simple, 1307, 36, 8234584, 175862, 0.9896
15, 5, 45, 35, 0.369269, simple, 1617, 31, 9719324, 177188, 0.9895
15, 5, 45, 45, 0.369269, simple, 1923, 33, 11397024, 176634, 0.9903
15, 15, 5, 5, 0.369269, simple, 221, 6, 1264601, 28338, 0.1545
15, 15, 5, 15, 0.369269, simple, 476, 9, 2703097, 41776, 0.3077
15, 15, 5, 25, 0.369269, simple, 551, 9, 3129810, 48510, 0.2286
15, 15, 5, 35, 0.369269, simple, 619, 9, 3518330, 46196, 0.2326
15, 15, 5, 45, 0.369269, simple, 686, 10, 3875712, 47370, 0.4175
