m, m_max,m_max_0,ef_construction,ml,select_neighbor_mode,total_time_for_building_graph,total_time_for_query,total_distance_count_for_building_graph,total_distance_count_for_query,recall,connectiveness
5, 5, 5, 10, 1, simple, 362, 8, 2119676, 40800, 0.3054, 0.169019 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 30, 1, simple, 558, 9, 3310164, 46902, 0.4162, 0.260358 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 50, 1, simple, 770, 10, 4349140, 48852, 0.4771, 0.316319 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 70, 1, simple, 930, 10, 5309550, 49468, 0.5042, 0.358521 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 90, 1, simple, 1082, 10, 6168718, 49914, 0.5145, 0.377682 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 110, 1, simple, 1232, 9, 6992566, 49986, 0.5262, 0.394763 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 10, 1, simple, 431, 15, 2697104, 77400, 0.745, 0.375357 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 30, 1, simple, 744, 15, 4501561, 80828, 0.8366, 0.553712 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 50, 1, simple, 1013, 15, 5994739, 81570, 0.8575, 0.598466 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 70, 1, simple, 1210, 14, 7355971, 82212, 0.86, 0.616573 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 90, 1, simple, 1524, 16, 8620814, 82628, 0.8647, 0.625256 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 110, 1, simple, 1647, 14, 9796202, 82916, 0.8688, 0.630639 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 10, 1, simple, 461, 17, 2955104, 95548, 0.8488, 0.437281 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 30, 1, simple, 793, 18, 5007740, 97662, 0.9022, 0.580587 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 50, 1, simple, 1081, 17, 6721058, 98406, 0.9127, 0.606991 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 70, 1, simple, 1343, 17, 8275900, 98572, 0.9139, 0.615955 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 90, 1, simple, 1577, 17, 9694190, 98846, 0.9171, 0.619972 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 110, 1, simple, 1768, 17, 11012236, 99010, 0.9182, 0.622140 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 10, 1, simple, 475, 17, 3084728, 105176, 0.8809, 0.457010 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 30, 1, simple, 822, 18, 5274937, 106252, 0.9236, 0.585460 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 50, 1, simple, 1112, 18, 7105044, 107004, 0.9268, 0.605584 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 70, 1, simple, 1397, 18, 8751938, 107210, 0.9277, 0.612760 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 90, 1, simple, 1627, 18, 10246794, 107354, 0.9295, 0.615769 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 110, 1, simple, 1869, 17, 11628802, 107430, 0.9293, 0.617604 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 10, 1, simple, 490, 19, 3149286, 111122, 0.8879, 0.462586 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 30, 1, simple, 847, 19, 5427434, 111658, 0.9286, 0.587848 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
