m, m_max, m_max_0, ef_construction, ml, select_neighbor_mode, total_time_for_building_graph, total_time_for_query, total_distance_count_for_building_graph, total_distance_count_for_query, recall
5, 5, 5, 10, 1, simple, 31466, 9, 118325915, 45724, 0.227, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 10, 10, 1, simple, 31351, 15, 118903393, 84222, 0.5136, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 15, 10, 1, simple, 33747, 20, 119161327, 113480, 0.5901, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 20, 10, 1, simple, 32722, 23, 119290962, 135738, 0.6152, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 25, 10, 1, simple, 32810, 34, 119355549, 159126, 0.6877, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 30, 10, 1, simple, 32836, 32, 119395165, 178336, 0.6969, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 35, 10, 1, simple, 31969, 33, 119414717, 189248, 0.7908, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 40, 10, 1, simple, 32812, 36, 119432013, 206856, 0.8363, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 5, 45, 10, 1, simple, 31705, 42, 119440337, 222288, 0.8391, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 10, 5, 10, 1, simple, 32289, 10, 118999902, 48748, 0.4173, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
